web-scraper-order,web-scraper-start-url,price,location,address,type,nobeds,nobath,sqft_price,size,pagination,pagination-href
"1647922099-10238","https://www.edgeprop.my/buy/johor/all-residential?page=395","RM 488,000","Taman Setia Indah","Jalan Setia, Johor Bahru, Johor","Landed","4 beds","3 bath","RM 417/sqft","1,170 sqft","",""
"1647919260-520","https://www.edgeprop.my/buy/johor/all-residential?page=881","RM 108,000","Residensi Masai (Parc Regency)","Jalan Masai Jaya, Off Jalan Masai Baru, Masai, Johor","Non Landed","3 beds","2 bath","RM 144/sqft","750 sqft","",""
"1647924301-17106","https://www.edgeprop.my/buy/johor/all-residential?page=52","RM 550,000EdgeProp Only","Taman Johor Jaya","Off Lebuhraya Pasir Gudang, Johor Bahru, Johor","Landed","6 beds","4 bath","RM 357/sqft","1,540 sqft","",""
"1647920433-4613","https://www.edgeprop.my/buy/johor/all-residential?page=677","RM 418,000","Taman Sri Skudai","Jalan Tembaga Merah, Skudai, Johor","Landed","3 beds","2 bath","RM 271/sqft","1,540 sqft","",""
"1647922635-11992","https://www.edgeprop.my/buy/johor/all-residential?page=308","RM 828,000EdgeProp Only","Taman Desa Tebrau","Off Jalan Kota Tinggi, Johor Bahru, Johor","Landed","4 beds","3 bath","RM 431/sqft","1,920 sqft","",""
"1647919376-938","https://www.edgeprop.my/buy/johor/all-residential?page=860","RM 260,000","Lake View Suites","Jalan Austin Perdana 1, Taman Austin Perdana, Johor Bahru, Johor","Non Landed","2 beds","2 bath","RM 340/sqft","764 sqft","",""
"1647921955-9752","https://www.edgeprop.my/buy/johor/all-residential?page=420","RM 315,000","Taman Universiti","Jalan Pendidikan; Jalan Kejayaan; Jalan Pertanian, Skudai, Johor","Landed","3 beds","1 bath","RM 260/sqft","1,210 sqft","",""
"1647920994-6582","https://www.edgeprop.my/buy/johor/all-residential?page=578","RM 730,000","Austin Duta","Jalan Austin Duta, Johor Bahru, Johor","Landed","3 beds","3 bath","RM -","- sqft","",""
"1647920491-4802","https://www.edgeprop.my/buy/johor/all-residential?page=667","RM 438,000EdgeProp Only","Taman Johor Jaya","Off Lebuhraya Pasir Gudang, Johor Bahru, Johor","Landed","4 beds","3 bath","RM 284/sqft","1,540 sqft","",""
"1647921729-9092","https://www.edgeprop.my/buy/johor/all-residential?page=453","RM 275,000","Lake View Suites","Jalan Austin Perdana 1, Taman Austin Perdana, Johor Bahru, Johor","Non Landed","3 beds","2 bath","1 carpark","RM 307/sqft","",""
"1647921675-8925","https://www.edgeprop.my/buy/johor/all-residential?page=461","RM 539,000","Taman Desa Cemerlang","Off Jalan Tanjong, Ulu Tiram, Johor","Landed","4 beds","3 bath","RM 385/sqft","1,400 sqft","",""
"1647924030-16123","https://www.edgeprop.my/buy/johor/all-residential?page=101","RM 539,000EdgeProp Only","Taman Sutera","Jalan Sutera Biru, Jalan Sutera Ungu, Jalan Sutera Jingga, Jalan Sutera Hijau, Johor Bahru, Johor","Landed","3 beds","2 bath","RM 306/sqft","1,760 sqft","",""
"1647923706-15032","https://www.edgeprop.my/buy/johor/all-residential?page=156","RM 3,400,000EdgeProp Only","Setia Tropika","Johor, Setia Tropika, Johor","Landed","5 + 2 beds","7 bath","RM 404/sqft","8,400 sqft","",""
"1647922534-11738","https://www.edgeprop.my/buy/johor/all-residential?page=320","RM 430,000EdgeProp Only","Teega Residences, Puteri Harbour","Jalan Laksamana 1, Kota Iskandar, Johor","Non Landed","1 + 1 beds","2 bath","1 carpark","RM 485/sqft","",""
"1647922290-10920","https://www.edgeprop.my/buy/johor/all-residential?page=361","RM 530,000EdgeProp Only","Taman Kota Masai","Taman Kota Masai, Pasir Gudang, Johor","Landed","3 beds","3 bath","RM 331/sqft","1,600 sqft","",""
"1647922626-11957","https://www.edgeprop.my/buy/johor/all-residential?page=309","RM 950,000EdgeProp Only","Setia Tropika","Johor, Setia Tropika, Johor","Landed","5 + 1 beds","4 bath","RM 424/sqft","2,240 sqft","",""
"1647920623-5283","https://www.edgeprop.my/buy/johor/all-residential?page=643","RM 560,000","Taman Sri Skudai","Jalan Tembaga Merah, Skudai, Johor","Landed","4 beds","3 bath","2 carpark","RM 363/sqft","",""
"1647921615-8718","https://www.edgeprop.my/buy/johor/all-residential?page=471","RM 688,000","Taman Sentosa","Jalan Sutera, Johor Bahru, Johor","Landed","- + 5 beds","3 bath","RM 390/sqft","1,760 sqft","",""
"1647922505-11686","https://www.edgeprop.my/buy/johor/all-residential?page=323","RM 418,000","The Garden Residences","Jalan Skudai - Gelang Patah, Skudai, 81300 Johor Bahru, Johor, Skudai, Johor","Non Landed","2 beds","2 bath","2 carpark","RM 543/sqft","",""
"1647920384-4431","https://www.edgeprop.my/buy/johor/all-residential?page=686","RM 500,000","Tropez Residences @ Danga Bay","Jalan Danga Bay, Johor Bahru, Johor","Non Landed","2 beds","2 bath","RM 521/sqft","958 sqft","",""
"1647919404-1047","https://www.edgeprop.my/buy/johor/all-residential?page=855","RM 648,000","Setia Tropika","Johor, Setia Tropika, Johor","Landed","4 beds","3 bath","RM 432/sqft","1,500 sqft","",""
"1647921597-8659","https://www.edgeprop.my/buy/johor/all-residential?page=474","RM 538,000EdgeProp Only","Bayou Water Village, Gelang Patah @ 2 Storey House","Gelang Patah, Johor","Landed","4 beds","2 bath","RM 373/sqft","1,440 sqft","",""
"1647923831-15474","https://www.edgeprop.my/buy/johor/all-residential?page=134","RM 448,000EdgeProp Only","Iskandar Puteri","Persiaran Puteri Selatan, Iskandar Puteri (Nusajaya), Johor","Landed","4 beds","3 bath","RM 381/sqft","1,175 sqft","",""
"1647923967-15913","https://www.edgeprop.my/buy/johor/all-residential?page=112","RM 435,000EdgeProp Only","Taman Ungku Tun Aminah","Jalan Tun Aminah, Skudai, Johor","Landed","3 beds","2 bath","RM 282/sqft","1,540 sqft","",""
"1647920688-5548","https://www.edgeprop.my/buy/johor/all-residential?page=630","RM 12,196,800","Pasir Gudang Residential Land","Pasir Gudang, Johor","Landed","- beds","- bath","RM 1,742,400/acre","7 acre","",""
"1647921634-8785","https://www.edgeprop.my/buy/johor/all-residential?page=468","RM 398,000","Jalan Nusaria 4/12","Nusaria Gelang Patah, Gelang Patah, Johor","Landed","4 beds","2 bath","RM 368/sqft","1,080 sqft","",""
"1647919256-513","https://www.edgeprop.my/buy/johor/all-residential?page=882","RM 698,000","The Straits View Residences","Jalan Permas 13, Permas Jaya, Permas Jaya/Senibong, Johor","Landed","4 beds","3 bath","RM 536/sqft","1,300 sqft","",""
"1647924237-16853","https://www.edgeprop.my/buy/johor/all-residential?page=65","RM 400,000EdgeProp Only","Taman Kemas","Persiaran Selasih, Jalan Selasih, Johor Bahru, Johor","Landed","3 beds","2 bath","RM -","- sqft","",""
"1647921465-8231","https://www.edgeprop.my/buy/johor/all-residential?page=496","RM 488,000","Taman Universiti","Jalan Pendidikan; Jalan Kejayaan; Jalan Pertanian, Skudai, Johor","Landed","4 beds","3 bath","RM -","- sqft","",""
"1647920325-4196","https://www.edgeprop.my/buy/johor/all-residential?page=697","RM 490,000EdgeProp Only","Taman Mount Austin","Johor Bahru, Johor","Landed","4 beds","3 bath","RM 418/sqft","1,170 sqft","",""
"1647921341-7830","https://www.edgeprop.my/buy/johor/all-residential?page=516","RM 428,000EdgeProp Only","Taman Skudai Baru","Jalan Hang Jebat, Skudai, Johor","Landed","3 beds","2 bath","RM 277/sqft","1,540 sqft","",""
"1647921084-6902","https://www.edgeprop.my/buy/johor/all-residential?page=562","RM 490,000EdgeProp Only","Taman Bukit Jaya","JALAN DENAI, Ulu Tiram, Johor","Landed","2 beds","2 bath","2 carpark","RM 155/sqft","",""
"1647919621-1761","https://www.edgeprop.my/buy/johor/all-residential?page=819","RM 578,000EdgeProp Only","Austin Regency","Johor Bahru, Johor","Non Landed","4 beds","2 bath","RM 439/sqft","1,314 sqft","",""
"1647924455-17694","https://www.edgeprop.my/buy/johor/all-residential?page=23","RM 330,000EdgeProp Only","Idaman Residence","Jalan Idaman 8 Off Persiaran Indah Utama, Nusa Idaman, Iskandar Puteri (Nusajaya), Johor","Non Landed","2 beds","2 bath","1 carpark","RM 402/sqft","",""
"1647924036-16153","https://www.edgeprop.my/buy/johor/all-residential?page=100","RM 550,000EdgeProp Only","Taman Scientex","Off Jalan Persiaran Scientex, Pasir Gudang, Johor","Landed","4 beds","3 bath","RM 264/sqft","2,080 sqft","",""
"1647924141-16469","https://www.edgeprop.my/buy/johor/all-residential?page=84","RM 315,000EdgeProp Only","Tebrau City Residences","Jalan Harmonium, Johor Bahru, Johor","Non Landed","3 beds","2 bath","RM 287/sqft","1,094 sqft","",""
"1647924597-18073","https://www.edgeprop.my/buy/johor/all-residential?page=4","RM 635,000MUST SEE","Taman Pulai Hijauan","Kangkar Pulai, Johor","Landed","4 beds","3 bath","RM 259/sqft","2,450 sqft","",""
"1647922635-11978","https://www.edgeprop.my/buy/johor/all-residential?page=308","RM 568,000","Setia Eco Gardens","Iskander, Nusajaya, Gelang Patah, Johor","Landed","4 beds","3 bath","RM 355/sqft","1,600 sqft","",""
"1647923780-15279","https://www.edgeprop.my/buy/johor/all-residential?page=143","RM 397,800EdgeProp Only","Bandar Layangkasa","Pasir Gudang, Johor","Landed","4 beds","3 bath","2 carpark","RM 284/sqft","",""
"1647922290-10926","https://www.edgeprop.my/buy/johor/all-residential?page=361","RM 599,000EdgeProp Only","Nusa Idaman","Jalan Idaman, Iskandar Puteri (Nusajaya), Johor","Landed","4 beds","3 bath","RM 427/sqft","1,400 sqft","",""
"1647924400-17492","https://www.edgeprop.my/buy/johor/all-residential?page=33","RM 648,000EdgeProp Only","Taman Megah Ria","Jalan Jelatang, Masai, Johor","Landed","4 beds","3 bath","RM 223/sqft","2,895 sqft","",""
"1647920270-4001","https://www.edgeprop.my/buy/johor/all-residential?page=707","RM 550,000","Taman Nusa Jaya Mas","Jalan JNM, Skudai, Johor","Landed","3 beds","2 bath","RM -","- sqft","",""
"1647923268-13633","https://www.edgeprop.my/buy/johor/all-residential?page=226","RM 380,000","Taman Pulai Indah Jln PI Single Storey Renovated I","Jalan PI 8 / X Tmn Pulai Indah, Johor Bahru, Johor","Landed","4 beds","3 bath","RM 243/sqft","1,560 sqft","",""
"1647919404-1048","https://www.edgeprop.my/buy/johor/all-residential?page=855","RM 228,000","Taman Cahaya Masai","Pasir Gudang, Johor","Landed","3 beds","2 bath","RM 296/sqft","770 sqft","",""
"1647924036-16145","https://www.edgeprop.my/buy/johor/all-residential?page=100","RM 300,000EdgeProp Only","Taman Johor Jaya","Off Lebuhraya Pasir Gudang, Johor Bahru, Johor","Landed","2 beds","2 bath","RM 389/sqft","770 sqft","",""
"1647923101-13224","https://www.edgeprop.my/buy/johor/all-residential?page=246","RM 308,000EdgeProp Only","Desa Skudai Apartment","Jalan Sejahtera 15, Taman Desa Skudai, Skudai, Johor","Non Landed","3 beds","2 bath","1 carpark","RM 230/sqft","",""
"1647922253-10780","https://www.edgeprop.my/buy/johor/all-residential?page=368","RM 659,000EdgeProp Only","Taman Pulai Hijauan","Kangkar Pulai, Johor","Landed","4 + 1 beds","3 bath","RM 268/sqft","2,450 sqft","",""
"1647920474-4752","https://www.edgeprop.my/buy/johor/all-residential?page=670","RM 650,000EdgeProp Only","Ayera Residence 2 Storey House","Jalan Presint 3, Johor Bahru, Johor","Landed","4 beds","4 bath","RM 464/sqft","1,400 sqft","",""
"1647920292-4079","https://www.edgeprop.my/buy/johor/all-residential?page=703","RM 438,000EdgeProp Only","Taman Scientex Utama","Johor, Senai, Johor","Landed","4 beds","3 bath","2 carpark","RM -","",""
"1647919900-2695","https://www.edgeprop.my/buy/johor/all-residential?page=772","RM 458,000EdgeProp Only","Taman Scientex Utama","Johor, Senai, Johor","Landed","3 beds","3 bath","RM -","- sqft","",""
"1647922156-10402","https://www.edgeprop.my/buy/johor/all-residential?page=387","RM 280,000","Taman Johor Jaya","Off Lebuhraya Pasir Gudang, Johor Bahru, Johor","Landed","2 beds","3 bath","RM -","- sqft","",""
"1647922182-10494","https://www.edgeprop.my/buy/johor/all-residential?page=382","RM 538,000","Bandar Indahpura","Kulai, Johor","Landed","4 beds","2 bath","RM -","- sqft","",""
"1647920125-3470","https://www.edgeprop.my/buy/johor/all-residential?page=734","RM 1,300,000EdgeProp Only","Taman Bukit Indah","Jalan Indah, Johor Bahru, Johor","Landed","5 beds","5 bath","RM 406/sqft","3,200 sqft","",""
"1647919944-2856","https://www.edgeprop.my/buy/johor/all-residential?page=764","RM 270,000","Taman Plentong Baru","Jalan kemboja, Plentong, Johor","Landed","2 beds","2 bath","RM 325/sqft","829 sqft","",""
"1647921525-8425","https://www.edgeprop.my/buy/johor/all-residential?page=486","RM 1,200,000","Larkin Jaya","1, Johor Bahru, Johor","Landed","7 beds","5 bath","RM 126/sqft","9,483 sqft","",""
"1647924428-17590","https://www.edgeprop.my/buy/johor/all-residential?page=28","RM 768,000EdgeProp Only","Sapphire 8 @ Bandar Seri Alam","Jalan Persiaran Seri Alam, Masai, Johor","Landed","4 beds","3 bath","RM -","- sqft","",""
"1647923801-15358","https://www.edgeprop.my/buy/johor/all-residential?page=139","RM 220,000EdgeProp Only","Bandar Baru Seri Alam","Persiaran Seri Alam, Masai, Johor","Landed","2 beds","1 bath","RM 285/sqft","770 sqft","",""
"1647921208-7364","https://www.edgeprop.my/buy/johor/all-residential?page=539","RM 388,000EdgeProp Only","Taman Johor Jaya","Off Lebuhraya Pasir Gudang, Johor Bahru, Johor","Landed","3 beds","2 bath","RM 251/sqft","1,540 sqft","",""
"1647924141-16463","https://www.edgeprop.my/buy/johor/all-residential?page=84","RM 225,000EdgeProp Only","Pangsapuri Persiaran Tanjung","Jalan Persiaran Tanjung, Tampoi, Johor Bahru, Johor","Non Landed","3 beds","2 bath","RM 234/sqft","958 sqft","",""
"1647924141-16465","https://www.edgeprop.my/buy/johor/all-residential?page=84","RM 480,000EdgeProp Only","Eco Tropics","Pasir Gudang, Johor","Landed","4 beds","3 bath","RM 342/sqft","1,400 sqft","",""
"1647923977-15949","https://www.edgeprop.my/buy/johor/all-residential?page=110","RM 1,568,700EdgeProp Only","Ledang Heights","Kampung Tiram, Ledang Heights, Johor","Landed","- beds","- bath","RM 140/sqft","11,205 sqft","",""
"1647920849-6109","https://www.edgeprop.my/buy/johor/all-residential?page=602","RM 428,000","Taman Skudai Baru","Jalan Hang Jebat, Skudai, Johor","Landed","3 beds","2 bath","RM -","- sqft","",""
"1647921327-7789","https://www.edgeprop.my/buy/johor/all-residential?page=518","RM 418,000EdgeProp Only","Taman Puteri Wangsa","Jalan Kembia; Jalan Beladau; Jalan Lading; Jalan Jenawi, Ulu Tiram, Johor","Landed","3 beds","2 bath","RM 253/sqft","1,650 sqft","",""
"1647920172-3643","https://www.edgeprop.my/buy/johor/all-residential?page=725","RM 288,000","Taman Bestari Indah","Jalan Bestari, Ulu Tiram, Johor","Landed","3 beds","2 bath","2 carpark","RM -","",""
"1647921841-9428","https://www.edgeprop.my/buy/johor/all-residential?page=436","RM 650,000","Taman Setia Indah","Jalan Setia, Johor Bahru, Johor","Landed","4 + 1 beds","4 bath","2 carpark","RM 464/sqft","",""
"1647923769-15236","https://www.edgeprop.my/buy/johor/all-residential?page=145","RM 700,000EdgeProp Only","Taman Mutiara Rini","Off Jalan Gelang Patah, Skudai, Johor","Landed","4 beds","3 bath","RM 202/sqft","3,450 sqft","",""
"1647923020-13025","https://www.edgeprop.my/buy/johor/all-residential?page=256","RM 488,000EdgeProp Only","Taman Megah Ria","Jalan Jelatang, Masai, Johor","Landed","4 beds","3 bath","2 carpark","RM 316/sqft","",""
"1647922312-11002","https://www.edgeprop.my/buy/johor/all-residential?page=357","RM 505,000","Taman Nusa Bayu","Iskandar Puteri (Nusajaya), Johor","Landed","4 beds","3 bath","RM -","- sqft","",""
"1647921703-8998","https://www.edgeprop.my/buy/johor/all-residential?page=457","RM 338,000","Taman Ungku Tun Aminah","Jalan Tun Aminah, Skudai, Johor","Landed","3 beds","2 bath","RM -","- sqft","",""
"1647919147-111","https://www.edgeprop.my/buy/johor/all-residential?page=902","RM 365,000","Taman Nusantara","Jalan Nusaria, Gelang Patah, Johor","Landed","4 beds","3 bath","RM 337/sqft","1,080 sqft","",""
"1647919359-877","https://www.edgeprop.my/buy/johor/all-residential?page=863","RM 268,000","Apartment Putri Ria, Bandar Baru Kota Putri","Jalan Bayan 45, Bandar Baru Kota Puteri, Pasir Gudang, Masai, Johor","Non Landed","3 beds","2 bath","RM 282/sqft","950 sqft","",""
"1647923300-13714","https://www.edgeprop.my/buy/johor/all-residential?page=222","RM 340,000EdgeProp Only","Molek Regency","Persiaran Bumi Hijau, Johor Bahru, Johor","Non Landed","Studio","1 bath","1 carpark","RM 531/sqft","",""
"1647923405-14068","https://www.edgeprop.my/buy/johor/all-residential?page=204","RM 368,000","Taman Timur","Jalan Timor 1, Skudai, Johor","Landed","3 beds","2 bath","2 carpark","RM -","",""
"1647922358-11187","https://www.edgeprop.my/buy/johor/all-residential?page=348","RM 480,000","The Water Edge Apartments","Persiaran Senibong, Masai, Johor","Non Landed","3 beds","2 bath","1 carpark","RM 436/sqft","",""
"1647922895-12609","https://www.edgeprop.my/buy/johor/all-residential?page=277","RM 398,000EdgeProp Only","Taman Puteri Wangsa","Jalan Kembia; Jalan Beladau; Jalan Lading; Jalan Jenawi, Ulu Tiram, Johor","Landed","3 beds","2 bath","2 carpark","RM 258/sqft","",""
"1647922187-10523","https://www.edgeprop.my/buy/johor/all-residential?page=381","RM 640,000","Taman Mutiara Rini","Off Jalan Gelang Patah, Skudai, Johor","Landed","4 beds","4 bath","RM -","- sqft","",""
"1647922790-12409","https://www.edgeprop.my/buy/johor/all-residential?page=287","RM 428,000EdgeProp Only","taman sri putri#KULAI double storey","Kulai, Johor","Landed","4 beds","3 bath","2 carpark","RM 277/sqft","",""
"1647922117-10288","https://www.edgeprop.my/buy/johor/all-residential?page=393","RM 699,000","Taman Rinting","Jalan Balau, Masai, Johor","Landed","4 + 1 beds","3 bath","6 carpark","RM 193/sqft","",""
"1647921555-8521","https://www.edgeprop.my/buy/johor/all-residential?page=481","RM 218,000","Pangsapuri Persiaran Tanjung","Jalan Persiaran Tanjung, Tampoi, Johor Bahru, Johor","Non Landed","3 + 1 beds","2 bath","1 carpark","RM 229/sqft","",""
"1647924147-16491","https://www.edgeprop.my/buy/johor/all-residential?page=83","RM 140,000EdgeProp Only","Setia Indah Flat","Jalan Setia Tropika 4, Taman Setia Indah, Johor Bahru, Johor","Non Landed","3 beds","2 bath","RM 200/sqft","700 sqft","",""
"1647919838-2531","https://www.edgeprop.my/buy/johor/all-residential?page=781","RM 680,000","KSL @ Puteri Park","Jalan Puteri, Taman Puteri Wangsa, Ulu Tiram, Johor","Landed","5 beds","5 bath","RM 404/sqft","1,680 sqft","",""
"1647920501-4852","https://www.edgeprop.my/buy/johor/all-residential?page=665","RM 1,560,000EdgeProp Only","Eco Spring","off Jalan Daya, Johor Bahru, Johor","Landed","4 + 1 beds","5 bath","RM -","- sqft","",""
"1647919308-707","https://www.edgeprop.my/buy/johor/all-residential?page=872","RM 128,000","Taman Molek","Off Persiaran Bumi Hijau, Johor Bahru, Johor","Non Landed","3 beds","1 bath","RM 196/sqft","650 sqft","",""
"1647920270-4007","https://www.edgeprop.my/buy/johor/all-residential?page=707","RM 1,230,000","Eco Botanic","Jalan Eco Botanik off Jlan Kampung Lalang, Iskandar Puteri (Nusajaya), Johor","Landed","5 beds","5 bath","RM -","- sqft","",""
"1647923706-15027","https://www.edgeprop.my/buy/johor/all-residential?page=156","RM 550,000EdgeProp Only","Taman Pelangi","Taman Pelangi, Johor Bahru, Johor","Landed","6 beds","3 bath","RM 202/sqft","2,720 sqft","",""
"1647919443-1179","https://www.edgeprop.my/buy/johor/all-residential?page=848","RM 538,000","Taman Perling","Jalan Camar, Jalan Undan, Jalan Pekaka, Johor Bahru, Johor","Landed","3 beds","2 bath","RM 221/sqft","2,432 sqft","",""
"1647922990-12920","https://www.edgeprop.my/buy/johor/all-residential?page=261","RM 580,000EdgeProp Only","Austin Duta","Jalan Austin Duta, Johor Bahru, Johor","Landed","4 beds","3 bath","2 carpark","RM 376/sqft","",""
"1647924547-17925","https://www.edgeprop.my/buy/johor/all-residential?page=11","RM 360,000MUST SEE","Taman Pulai Jaya","jalan pulai jaya, Johor Bahru, Johor","Landed","3 beds","2 bath","2 carpark","RM 257/sqft","",""
"1647923544-14484","https://www.edgeprop.my/buy/johor/all-residential?page=183","RM 378,000EdgeProp Only","Taman Nusantara","Jalan Nusaria, Gelang Patah, Johor","Landed","4 beds","2 bath","RM -","- sqft","",""
"1647922165-10436","https://www.edgeprop.my/buy/johor/all-residential?page=385","RM 318,000","M'Tiara Apartment @ Larkin Idaman","Jalan Idaman Utama Taman Larkin Idaman, Johor Bahru, Johor","Non Landed","3 beds","2 bath","RM 316/sqft","1,006 sqft","",""
"1647920618-5257","https://www.edgeprop.my/buy/johor/all-residential?page=644","RM 850,000","Setia Tropika","Johor, Setia Tropika, Johor","Landed","4 beds","3 bath","4 carpark","RM 242/sqft","",""
"1647919219-369","https://www.edgeprop.my/buy/johor/all-residential?page=889","RM 1,400","Scientex Pulai, Taman Pulai Mutiara","Taman Pulai Mutiara, Johor Bahru, Johor","Landed","6 beds","3 bath","RM 0/sqft","2,660 sqft","",""
"1647923305-13733","https://www.edgeprop.my/buy/johor/all-residential?page=221","RM 180,000","Taman Purnama 1 Simpang Renggam","Simpang Renggam, Johor","Landed","3 beds","2 bath","RM 116/sqft","1,540 sqft","",""
"1647920058-3231","https://www.edgeprop.my/buy/johor/all-residential?page=746","RM 720,000EdgeProp Only","Taman Perling","Jalan Camar, Jalan Undan, Jalan Pekaka, Johor Bahru, Johor","Landed","3 beds","3 bath","RM 200/sqft","3,600 sqft","",""
"1647924365-17336","https://www.edgeprop.my/buy/johor/all-residential?page=40","RM 1,150,000EdgeProp Only","Taman Sutera Utama","Jalan Sutera Pulai 2/1, Skudai, Johor","Landed","4 beds","5 bath","RM -","- sqft","",""
"1647924534-17889","https://www.edgeprop.my/buy/johor/all-residential?page=13","RM 780,000MUST SEE","Jalan Redang 3/7","Johor Bharu, Johor","Landed","4 + 2 beds","4 bath","2 carpark","RM -","",""
"1647920325-4208","https://www.edgeprop.my/buy/johor/all-residential?page=697","RM 690,000","Taman Mutiara Mas","Jalan Mutiara, Skudai, Johor","Landed","5 beds","4 bath","RM -","- sqft","",""
"1647919876-2642","https://www.edgeprop.my/buy/johor/all-residential?page=775","RM 430,000","Austin Regency","Johor Bahru, Johor","Non Landed","3 + 1 beds","3 bath","RM 326/sqft","1,317 sqft","",""
"1647921245-7503","https://www.edgeprop.my/buy/johor/all-residential?page=532","RM 3,150,000","Senibong Cove","Jalan Persiaran Senibong, Permas Jaya, Masai, Johor","Landed","5 beds","8 bath","RM 569/sqft","5,536 sqft","",""
"1647922343-11132","https://www.edgeprop.my/buy/johor/all-residential?page=351","RM 369,000","Bandar Baru Seri Alam","Persiaran Seri Alam, Masai, Johor","Landed","4 beds","3 bath","2 carpark","RM 263/sqft","",""
"1647919197-290","https://www.edgeprop.my/buy/johor/all-residential?page=893","RM 165,000","Bandar Indahpura","Kulai, Johor","Landed","3 beds","2 bath","RM 186/sqft","883 sqft","",""
"1647920422-4554","https://www.edgeprop.my/buy/johor/all-residential?page=679","RM 250,000","Daya View Apartment","Jalan Sagu 36, Johor Bahru, Johor","Non Landed","3 beds","2 bath","RM 269/sqft","926 sqft","",""
"1647922388-11275","https://www.edgeprop.my/buy/johor/all-residential?page=343","RM 398,000EdgeProp Only","Taman Rinting","Jalan Balau, Masai, Johor","Landed","3 beds","2 bath","RM -","- sqft","",""
"1647920114-3418","https://www.edgeprop.my/buy/johor/all-residential?page=736","RM 238,000","APARTMENT Sri Pahlawan B, Bukit Saujana for Sale","Johor Bahru, Johor","Non Landed","3 beds","2 bath","RM 238/sqft","998 sqft","",""
"1647921572-8589","https://www.edgeprop.my/buy/johor/all-residential?page=478","RM 728,000","Taman Perling","Jalan Camar, Jalan Undan, Jalan Pekaka, Johor Bahru, Johor","Landed","4 beds","3 bath","RM 413/sqft","1,760 sqft","",""
"1647924349-17276","https://www.edgeprop.my/buy/johor/all-residential?page=43","RM 1,250,000EdgeProp Only","Taman Desa Tebrau","Off Jalan Kota Tinggi, Johor Bahru, Johor","Landed","5 beds","5 bath","RM 459/sqft","2,720 sqft","",""
"1647920179-3657","https://www.edgeprop.my/buy/johor/all-residential?page=724","RM 1,488,000","Adda Heights","Jalan Adda 5, Johor Bahru, Johor","Landed","5 beds","5 bath","RM 506/sqft","2,940 sqft","",""
"1647923957-15873","https://www.edgeprop.my/buy/johor/all-residential?page=114","RM 930,000EdgeProp Only","Casa Almyra","Taman Amira, Johor Bahru, Johor","Landed","5 + 1 beds","4 bath","RM 326/sqft","2,850 sqft","",""
"1647920362-4344","https://www.edgeprop.my/buy/johor/all-residential?page=690","RM 950,000","Eco Botanic","Jalan Eco Botanik off Jlan Kampung Lalang, Iskandar Puteri (Nusajaya), Johor","Landed","5 beds","4 bath","RM -","- sqft","",""
"1647922052-10080","https://www.edgeprop.my/buy/johor/all-residential?page=403","RM 628,000","Taman Setia Indah","Jalan Setia, Johor Bahru, Johor","Landed","4 + 1 beds","4 bath","RM 448/sqft","1,400 sqft","",""
"1647924025-16109","https://www.edgeprop.my/buy/johor/all-residential?page=102","RM 468,000EdgeProp Only","Taman Bukit Indah","Jalan Indah, Johor Bahru, Johor","Landed","3 beds","2 bath","RM 360/sqft","1,300 sqft","",""
"1647922819-12487","https://www.edgeprop.my/buy/johor/all-residential?page=283","RM 650,000EdgeProp Only","Taman Tropika","Kulai, Johor","Landed","4 beds","4 bath","2 carpark","RM 294/sqft","",""
"1647919721-2105","https://www.edgeprop.my/buy/johor/all-residential?page=802","RM 550,000","Taman Desa Jaya","Off Jalan desa Jaya, Johor Bahru, Johor","Landed","4 beds","3 bath","RM 357/sqft","1,540 sqft","",""
"1647921597-8673","https://www.edgeprop.my/buy/johor/all-residential?page=474","RM 1,000,000","Taman Kempas Utama","Johor Bahru, Johor","Landed","5 beds","5 bath","RM -","- sqft","",""
"1647922151-10388","https://www.edgeprop.my/buy/johor/all-residential?page=388","RM 510,000","Taman Nusa Bayu","Jalan Bayu 3, Iskandar Puteri (Nusajaya), Johor","Landed","4 beds","3 bath","RM 364/sqft","1,400 sqft","",""
"1647922620-11950","https://www.edgeprop.my/buy/johor/all-residential?page=310","RM 560,000","Mukim Pulai Johore Baru Terrace house for sale","Pontian, Johor","Landed","4 beds","3 bath","RM 430/sqft","1,302 sqft","",""
"1647919804-2401","https://www.edgeprop.my/buy/johor/all-residential?page=787","RM 438,000EdgeProp Only","Taman Bukit Indah","Jalan Indah, Johor Bahru, Johor","Landed","3 beds","2 bath","RM 312/sqft","1,400 sqft","",""
"1647921769-9211","https://www.edgeprop.my/buy/johor/all-residential?page=447","RM 1,500,000","Bandar Putra Kulai","Bandar Putra Kulai 81000 Kulai Johor, Kulai, Johor","Landed","6 beds","6 bath","RM 386/sqft","3,885 sqft","",""
"1647921276-7624","https://www.edgeprop.my/buy/johor/all-residential?page=526","RM 420,000EdgeProp Only","Taman Rinting","Jalan Balau, Masai, Johor","Landed","3 beds","2 bath","2 carpark","RM -","",""
"1647921988-9850","https://www.edgeprop.my/buy/johor/all-residential?page=415","RM 479,000","Bandar Baru Permas Jaya","Jalan Permas, Permas Jaya/Senibong, Johor","Landed","4 beds","3 bath","2 carpark","RM 290/sqft","",""
"1647919914-2735","https://www.edgeprop.my/buy/johor/all-residential?page=770","RM 125,000","Perumahan Rakyat Lima Kedai","Skudai, Johor","Non Landed","3 beds","2 bath","RM 156/sqft","800 sqft","",""
