web-scraper-order,web-scraper-start-url,price,location,address,type,nobeds,nobath,sqft_price,size,pagination,pagination-href
"1647923425-14135","https://www.edgeprop.my/buy/johor/all-residential?page=200","RM 398,000EdgeProp Only","Bandar Putra Kulai","Bandar Putra Kulai 81000 Kulai Johor, Kulai, Johor","Landed","4 beds","2 bath","RM 221/sqft","1,800 sqft","",""
"1647921639-8808","https://www.edgeprop.my/buy/johor/all-residential?page=467","RM 118,000","Flat taman pelangi indah, ulu tiram","Jln cantik, Ulu Tiram, Johor","Non Landed","3 beds","2 bath","RM 179/sqft","656 sqft","",""
"1647922284-10901","https://www.edgeprop.my/buy/johor/all-residential?page=362","RM 360,000EdgeProp Only","Seri Austin Residence","Jalan Seri Austin 1/17, Taman Seri Austin, Johor Bahru, Johor","Non Landed","1 beds","2 bath","1 carpark","RM 405/sqft","",""
"1647923066-13160","https://www.edgeprop.my/buy/johor/all-residential?page=249","RM 428,000EdgeProp Only","Taman Skudai Baru","Jalan Hang Jebat, Skudai, Johor","Landed","3 beds","2 bath","RM 277/sqft","1,540 sqft","",""
"1647921301-7706","https://www.edgeprop.my/buy/johor/all-residential?page=522","RM 530,000EdgeProp Only","Taman Skudai Baru","Jalan Hang Jebat, Skudai, Johor","Landed","4 beds","3 bath","RM 344/sqft","1,540 sqft","",""
"1647920098-3362","https://www.edgeprop.my/buy/johor/all-residential?page=739","RM 450,000","Taman Johor Jaya","Off Lebuhraya Pasir Gudang, Johor Bahru, Johor","Landed","3 beds","2 bath","2 carpark","RM 292/sqft","",""
"1647923119-13257","https://www.edgeprop.my/buy/johor/all-residential?page=244","RM 450,000EdgeProp Only","Jalan Nakhoda 16","Skudai, Johor","Landed","4 beds","3 bath","2 carpark","RM -","",""
"1647921301-7695","https://www.edgeprop.my/buy/johor/all-residential?page=522","RM 328,000EdgeProp Only","Prima Regency","Jalan Masai Baru, Plentong, Johor","Non Landed","3 beds","2 bath","RM -","- sqft","",""
"1647919986-3026","https://www.edgeprop.my/buy/johor/all-residential?page=756","RM 965,000","Jalan Bakar Batu","Jalan Bakar Batu, Taman Sentosa, Johor Bharu, Johor","Landed","4 beds","3 bath","RM 268/sqft","3,600 sqft","",""
"1647921968-9781","https://www.edgeprop.my/buy/johor/all-residential?page=418","RM 650,000EdgeProp Only","Taman Tropika","Kulai, Johor","Landed","4 beds","4 bath","2 carpark","RM 294/sqft","",""
"1647923332-13818","https://www.edgeprop.my/buy/johor/all-residential?page=216","RM 340,000EdgeProp Only","Bandar Pulai Jaya","Kangkar Pulai, Johor","Landed","3 beds","2 bath","RM 261/sqft","1,300 sqft","",""
"1647922765-12329","https://www.edgeprop.my/buy/johor/all-residential?page=291","RM 330,000EdgeProp Only","M'Tiara Apartment @ Larkin Idaman","Jalan Idaman Utama Taman Larkin Idaman, Johor Bahru, Johor","Non Landed","3 beds","2 bath","1 carpark","RM 328/sqft","",""
"1647922025-9978","https://www.edgeprop.my/buy/johor/all-residential?page=408","RM 248,000","Idaman Senibong","Jalan Persiaran Senibong, Permas Jaya/Senibong, Johor","Non Landed","3 beds","2 bath","RM 304/sqft","815 sqft","",""
"1647923990-15986","https://www.edgeprop.my/buy/johor/all-residential?page=108","RM 550,000EdgeProp Only","Setia Tropika","Johor, Setia Tropika, Johor","Landed","4 beds","4 bath","RM 357/sqft","1,540 sqft","",""
"1647923135-13307","https://www.edgeprop.my/buy/johor/all-residential?page=242","RM 230,000EdgeProp Only","Bandar Selesa Jaya","Jalan Silat Gayong, Skudai, Johor","Landed","2 beds","1 bath","2 carpark","RM -","",""
